city,category,ipc,year,month
Villavicencio,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",2.03,2022,9
Pasto,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.8,2022,9
Cúcuta,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.48,2022,9
Armenia,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",2.54,2022,9
Pereira,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.61,2022,9
Bucaramanga,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.59,2022,9
Sincelejo,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.45,2022,9
Ibagué,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",2.46,2022,9
Cali,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.72,2022,9
Otras Areas Urbanas,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.41,2022,9
Medellín,Salud,0.25,2022,9
Barranquilla,Salud,0.02,2022,9
"Bogotá, D.C.",Salud,0.61,2022,9
Cartagena De Indias,Salud,0.17,2022,9
Tunja,Salud,0.4,2022,9
Manizales,Salud,0.65,2022,9
Florencia,Salud,0.36,2022,9
Popayán,Salud,0.61,2022,9
Valledupar,Salud,0.67,2022,9
Montería,Salud,0.77,2022,9
Neiva,Salud,0.11,2022,9
Riohacha,Salud,0.43,2022,9
Santa Marta,Salud,0.55,2022,9
Villavicencio,Salud,0.72,2022,9
Pasto,Salud,0.22,2022,9
Cúcuta,Salud,0.62,2022,9
Armenia,Salud,0.81,2022,9
Pereira,Salud,0.69,2022,9
Bucaramanga,Salud,0.64,2022,9
Sincelejo,Salud,0.35,2022,9
Ibagué,Salud,0.45,2022,9
Cali,Salud,0.57,2022,9
Otras Areas Urbanas,Salud,0.4,2022,9
Medellín,Transporte,0.66,2022,9
Barranquilla,Transporte,0.14,2022,9
"Bogotá, D.C.",Transporte,0.81,2022,9
Cartagena De Indias,Transporte,0.24,2022,9
Tunja,Transporte,0.39,2022,9
Manizales,Transporte,0.71,2022,9
Florencia,Transporte,0.74,2022,9
Popayán,Transporte,0.4,2022,9
Valledupar,Transporte,0.44,2022,9
Montería,Transporte,0.06,2022,9
Neiva,Transporte,0.76,2022,9
Riohacha,Transporte,2.24,2022,9
Santa Marta,Transporte,-0.03,2022,9
Villavicencio,Transporte,0.68,2022,9
Pasto,Transporte,0.88,2022,9
Cúcuta,Transporte,0.23,2022,9
Armenia,Transporte,0.38,2022,9
Pereira,Transporte,0.23,2022,9
Bucaramanga,Transporte,1.27,2022,9
Sincelejo,Transporte,0.88,2022,9
Ibagué,Transporte,0.88,2022,9
Cali,Transporte,0.66,2022,9
Otras Areas Urbanas,Transporte,0.74,2022,9
Medellín,Información Y Comunicación,0.1,2022,9
Barranquilla,Información Y Comunicación,0.08,2022,9
"Bogotá, D.C.",Información Y Comunicación,0.1,2022,9
Cartagena De Indias,Información Y Comunicación,-0.04,2022,9
Tunja,Información Y Comunicación,-0.02,2022,9
Manizales,Información Y Comunicación,-0.03,2022,9
Florencia,Información Y Comunicación,-0.02,2022,9
Popayán,Información Y Comunicación,0.02,2022,9
Valledupar,Información Y Comunicación,0.26,2022,9
Montería,Información Y Comunicación,0.02,2022,9
Neiva,Información Y Comunicación,0.52,2022,9
Riohacha,Información Y Comunicación,0.03,2022,9
Santa Marta,Información Y Comunicación,0.03,2022,9
Villavicencio,Información Y Comunicación,0.07,2022,9
Pasto,Información Y Comunicación,0.02,2022,9
Cúcuta,Información Y Comunicación,0.09,2022,9
Armenia,Información Y Comunicación,0.03,2022,9
Pereira,Información Y Comunicación,0.11,2022,9
Bucaramanga,Información Y Comunicación,0.13,2022,9
Sincelejo,Información Y Comunicación,-0.02,2022,9
Ibagué,Información Y Comunicación,0.12,2022,9
Cali,Información Y Comunicación,0.08,2022,9
Otras Areas Urbanas,Información Y Comunicación,0.05,2022,9
Medellín,Recreación Y Cultura,0.85,2022,9
Barranquilla,Recreación Y Cultura,0.86,2022,9
"Bogotá, D.C.",Recreación Y Cultura,0.56,2022,9
Cartagena De Indias,Recreación Y Cultura,0.63,2022,9
Tunja,Recreación Y Cultura,-0.45,2022,9
Manizales,Recreación Y Cultura,0.76,2022,9
Florencia,Recreación Y Cultura,0.45,2022,9
Popayán,Recreación Y Cultura,1.06,2022,9
Valledupar,Recreación Y Cultura,0.69,2022,9
Montería,Recreación Y Cultura,0.48,2022,9
Neiva,Recreación Y Cultura,0.18,2022,9
Riohacha,Recreación Y Cultura,0.35,2022,9
Santa Marta,Recreación Y Cultura,0.28,2022,9
Villavicencio,Recreación Y Cultura,0.29,2022,9
Pasto,Recreación Y Cultura,1.07,2022,9
Cúcuta,Recreación Y Cultura,0.57,2022,9
Armenia,Recreación Y Cultura,0.91,2022,9
Pereira,Recreación Y Cultura,0.53,2022,9
Bucaramanga,Recreación Y Cultura,0.81,2022,9
Sincelejo,Recreación Y Cultura,0.49,2022,9
Ibagué,Recreación Y Cultura,1.07,2022,9
Cali,Recreación Y Cultura,1.02,2022,9
Otras Areas Urbanas,Recreación Y Cultura,0.43,2022,9
Medellín,Educación,0.27,2022,9
Barranquilla,Educación,0.6,2022,9
"Bogotá, D.C.",Educación,1.12,2022,9
Cartagena De Indias,Educación,2.35,2022,9
Tunja,Educación,0.0,2022,9
Manizales,Educación,0.47,2022,9
Florencia,Educación,0.0,2022,9
Popayán,Educación,1.44,2022,9
Valledupar,Educación,-7.29,2022,9
Montería,Educación,0.18,2022,9
Neiva,Educación,-1.56,2022,9
Riohacha,Educación,0.0,2022,9
Santa Marta,Educación,0.21,2022,9
Villavicencio,Educación,0.0,2022,9
Pasto,Educación,0.87,2022,9
Cúcuta,Educación,0.0,2022,9
Armenia,Educación,0.0,2022,9
Pereira,Educación,0.15,2022,9
Bucaramanga,Educación,0.09,2022,9
Sincelejo,Educación,0.0,2022,9
Ibagué,Educación,0.17,2022,9
Cali,Educación,1.4,2022,9
Otras Areas Urbanas,Educación,0.09,2022,9
Medellín,Restaurantes Y Hoteles,1.26,2022,9
Barranquilla,Restaurantes Y Hoteles,1.26,2022,9
"Bogotá, D.C.",Restaurantes Y Hoteles,0.91,2022,9
Cartagena De Indias,Restaurantes Y Hoteles,1.18,2022,9
Tunja,Restaurantes Y Hoteles,0.63,2022,9
Manizales,Restaurantes Y Hoteles,0.73,2022,9
Florencia,Restaurantes Y Hoteles,1.12,2022,9
Popayán,Restaurantes Y Hoteles,1.35,2022,9
Valledupar,Restaurantes Y Hoteles,0.7,2022,9
Montería,Restaurantes Y Hoteles,1.27,2022,9
Neiva,Restaurantes Y Hoteles,1.23,2022,9
Riohacha,Restaurantes Y Hoteles,1.27,2022,9
Santa Marta,Restaurantes Y Hoteles,1.35,2022,9
Villavicencio,Restaurantes Y Hoteles,1.18,2022,9
Pasto,Restaurantes Y Hoteles,0.43,2022,9
Cúcuta,Restaurantes Y Hoteles,0.82,2022,9
Armenia,Restaurantes Y Hoteles,2.37,2022,9
Pereira,Restaurantes Y Hoteles,1.04,2022,9
Bucaramanga,Restaurantes Y Hoteles,1.46,2022,9
Sincelejo,Restaurantes Y Hoteles,1.37,2022,9
Ibagué,Restaurantes Y Hoteles,0.81,2022,9
Cali,Restaurantes Y Hoteles,0.78,2022,9
Otras Areas Urbanas,Restaurantes Y Hoteles,0.78,2022,9
Medellín,Bienes Y Servicios Diversos,1.0,2022,9
Barranquilla,Bienes Y Servicios Diversos,1.21,2022,9
"Bogotá, D.C.",Bienes Y Servicios Diversos,1.32,2022,9
Cartagena De Indias,Bienes Y Servicios Diversos,1.23,2022,9
Tunja,Bienes Y Servicios Diversos,0.88,2022,9
Manizales,Bienes Y Servicios Diversos,0.99,2022,9
Florencia,Bienes Y Servicios Diversos,1.35,2022,9
Popayán,Bienes Y Servicios Diversos,1.07,2022,9
Valledupar,Bienes Y Servicios Diversos,1.24,2022,9
Montería,Bienes Y Servicios Diversos,1.49,2022,9
Neiva,Bienes Y Servicios Diversos,1.56,2022,9
Riohacha,Bienes Y Servicios Diversos,1.05,2022,9
Santa Marta,Bienes Y Servicios Diversos,1.42,2022,9
Villavicencio,Bienes Y Servicios Diversos,1.5,2022,9
Pasto,Bienes Y Servicios Diversos,0.79,2022,9
Cúcuta,Bienes Y Servicios Diversos,0.68,2022,9
Armenia,Bienes Y Servicios Diversos,1.46,2022,9
Pereira,Bienes Y Servicios Diversos,1.9,2022,9
Bucaramanga,Bienes Y Servicios Diversos,0.96,2022,9
Sincelejo,Bienes Y Servicios Diversos,0.6,2022,9
Ibagué,Bienes Y Servicios Diversos,2.23,2022,9
Cali,Bienes Y Servicios Diversos,1.1,2022,9
Otras Areas Urbanas,Bienes Y Servicios Diversos,1.01,2022,9
Medellín,Total,0.94,2022,9
Barranquilla,Total,0.86,2022,9
"Bogotá, D.C.",Total,0.95,2022,9
Cartagena De Indias,Total,0.93,2022,9
Tunja,Total,0.71,2022,9
Manizales,Total,0.91,2022,9
Florencia,Total,1.1,2022,9
Popayán,Total,1.14,2022,9
Valledupar,Total,0.58,2022,9
Montería,Total,0.93,2022,9
Neiva,Total,1.02,2022,9
Riohacha,Total,1.09,2022,9
Santa Marta,Total,0.75,2022,9
Villavicencio,Total,0.88,2022,9
Pasto,Total,1.05,2022,9
Cúcuta,Total,1.2,2022,9
Armenia,Total,1.18,2022,9
Pereira,Total,0.9,2022,9
Bucaramanga,Total,1.03,2022,9
Sincelejo,Total,0.81,2022,9
Ibagué,Total,1.15,2022,9
Cali,Total,0.74,2022,9
Otras Areas Urbanas,Total,0.91,2022,9
Medellín,Alimentos Y Bebidas No Alcohólicas,1.13,2022,10
Barranquilla,Alimentos Y Bebidas No Alcohólicas,0.95,2022,10
"Bogotá, D.C.",Alimentos Y Bebidas No Alcohólicas,1.17,2022,10
Cartagena De Indias,Alimentos Y Bebidas No Alcohólicas,0.7,2022,10
Tunja,Alimentos Y Bebidas No Alcohólicas,2.1,2022,10
Manizales,Alimentos Y Bebidas No Alcohólicas,0.91,2022,10
Florencia,Alimentos Y Bebidas No Alcohólicas,1.24,2022,10
Popayán,Alimentos Y Bebidas No Alcohólicas,1.08,2022,10
Valledupar,Alimentos Y Bebidas No Alcohólicas,1.41,2022,10
Montería,Alimentos Y Bebidas No Alcohólicas,1.08,2022,10
Neiva,Alimentos Y Bebidas No Alcohólicas,0.65,2022,10
Riohacha,Alimentos Y Bebidas No Alcohólicas,1.39,2022,10
Santa Marta,Alimentos Y Bebidas No Alcohólicas,1.28,2022,10
Villavicencio,Alimentos Y Bebidas No Alcohólicas,1.07,2022,10
Pasto,Alimentos Y Bebidas No Alcohólicas,0.91,2022,10
Cúcuta,Alimentos Y Bebidas No Alcohólicas,2.22,2022,10
Armenia,Alimentos Y Bebidas No Alcohólicas,1.14,2022,10
Pereira,Alimentos Y Bebidas No Alcohólicas,1.56,2022,10
Bucaramanga,Alimentos Y Bebidas No Alcohólicas,1.43,2022,10
Sincelejo,Alimentos Y Bebidas No Alcohólicas,1.31,2022,10
Ibagué,Alimentos Y Bebidas No Alcohólicas,1.26,2022,10
Cali,Alimentos Y Bebidas No Alcohólicas,1.4,2022,10
Otras Areas Urbanas,Alimentos Y Bebidas No Alcohólicas,1.22,2022,10
Medellín,Bebidas Alcohólicas Y Tabaco,0.3,2022,10
Barranquilla,Bebidas Alcohólicas Y Tabaco,0.63,2022,10
"Bogotá, D.C.",Bebidas Alcohólicas Y Tabaco,0.6,2022,10
Cartagena De Indias,Bebidas Alcohólicas Y Tabaco,0.41,2022,10
Tunja,Bebidas Alcohólicas Y Tabaco,0.49,2022,10
Manizales,Bebidas Alcohólicas Y Tabaco,0.38,2022,10
Florencia,Bebidas Alcohólicas Y Tabaco,0.85,2022,10
Popayán,Bebidas Alcohólicas Y Tabaco,0.74,2022,10
Valledupar,Bebidas Alcohólicas Y Tabaco,0.09,2022,10
Montería,Bebidas Alcohólicas Y Tabaco,0.31,2022,10
Neiva,Bebidas Alcohólicas Y Tabaco,0.72,2022,10
Riohacha,Bebidas Alcohólicas Y Tabaco,1.02,2022,10
Santa Marta,Bebidas Alcohólicas Y Tabaco,0.7,2022,10
Villavicencio,Bebidas Alcohólicas Y Tabaco,1.08,2022,10
Pasto,Bebidas Alcohólicas Y Tabaco,1.06,2022,10
Cúcuta,Bebidas Alcohólicas Y Tabaco,0.98,2022,10
Armenia,Bebidas Alcohólicas Y Tabaco,0.7,2022,10
Pereira,Bebidas Alcohólicas Y Tabaco,0.59,2022,10
Bucaramanga,Bebidas Alcohólicas Y Tabaco,1.27,2022,10
Sincelejo,Bebidas Alcohólicas Y Tabaco,0.58,2022,10
Ibagué,Bebidas Alcohólicas Y Tabaco,0.24,2022,10
Cali,Bebidas Alcohólicas Y Tabaco,0.4,2022,10
Otras Areas Urbanas,Bebidas Alcohólicas Y Tabaco,0.88,2022,10
Medellín,Prendas De Vestir Y Calzado,0.15,2022,10
Barranquilla,Prendas De Vestir Y Calzado,0.53,2022,10
"Bogotá, D.C.",Prendas De Vestir Y Calzado,0.18,2022,10
Cartagena De Indias,Prendas De Vestir Y Calzado,0.28,2022,10
Tunja,Prendas De Vestir Y Calzado,0.35,2022,10
Manizales,Prendas De Vestir Y Calzado,0.01,2022,10
Florencia,Prendas De Vestir Y Calzado,0.84,2022,10
Popayán,Prendas De Vestir Y Calzado,0.5,2022,10
Valledupar,Prendas De Vestir Y Calzado,1.01,2022,10
Montería,Prendas De Vestir Y Calzado,0.32,2022,10
Neiva,Prendas De Vestir Y Calzado,0.53,2022,10
Riohacha,Prendas De Vestir Y Calzado,0.52,2022,10
Santa Marta,Prendas De Vestir Y Calzado,0.68,2022,10
Villavicencio,Prendas De Vestir Y Calzado,0.36,2022,10
Pasto,Prendas De Vestir Y Calzado,0.57,2022,10
Cúcuta,Prendas De Vestir Y Calzado,0.46,2022,10
Armenia,Prendas De Vestir Y Calzado,0.61,2022,10
Pereira,Prendas De Vestir Y Calzado,0.68,2022,10
Bucaramanga,Prendas De Vestir Y Calzado,0.05,2022,10
Sincelejo,Prendas De Vestir Y Calzado,0.73,2022,10
Ibagué,Prendas De Vestir Y Calzado,-0.03,2022,10
Cali,Prendas De Vestir Y Calzado,-0.04,2022,10
Otras Areas Urbanas,Prendas De Vestir Y Calzado,0.35,2022,10
Medellín,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.62,2022,10
Barranquilla,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",-0.52,2022,10
"Bogotá, D.C.","Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.46,2022,10
Cartagena De Indias,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.38,2022,10
Tunja,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.08,2022,10
Manizales,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.26,2022,10
Florencia,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.27,2022,10
Popayán,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.17,2022,10
Valledupar,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",-0.32,2022,10
Montería,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.32,2022,10
Neiva,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.79,2022,10
Riohacha,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",-0.6,2022,10
Santa Marta,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",-0.16,2022,10
Villavicencio,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",-0.1,2022,10
Pasto,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.5,2022,10
Cúcuta,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.7,2022,10
Armenia,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.37,2022,10
Pereira,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.41,2022,10
Bucaramanga,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.77,2022,10
Sincelejo,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.27,2022,10
Ibagué,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.28,2022,10
Cali,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.53,2022,10
Otras Areas Urbanas,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.5,2022,10
Medellín,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.06,2022,10
Barranquilla,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.13,2022,10
"Bogotá, D.C.","Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.55,2022,10
Cartagena De Indias,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.35,2022,10
Tunja,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.16,2022,10
Manizales,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.64,2022,10
Florencia,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.76,2022,10
Popayán,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.8,2022,10
Valledupar,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.74,2022,10
Montería,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.84,2022,10
Neiva,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.86,2022,10
Riohacha,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.4,2022,10
Santa Marta,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.43,2022,10
Villavicencio,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.17,2022,10
Pasto,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.8,2022,10
Cúcuta,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.05,2022,10
Armenia,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.97,2022,10
Pereira,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.16,2022,10
Bucaramanga,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.04,2022,10
Sincelejo,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.39,2022,10
Ibagué,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.92,2022,10
Cali,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.93,2022,10
Otras Areas Urbanas,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",0.97,2022,10
Medellín,Salud,1.07,2022,10
Barranquilla,Salud,0.91,2022,10
"Bogotá, D.C.",Salud,0.65,2022,10
Cartagena De Indias,Salud,0.7,2022,10
Tunja,Salud,0.33,2022,10
Manizales,Salud,-0.01,2022,10
Florencia,Salud,0.79,2022,10
